### Donsken_stat_n40_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
479 0.1 50.35 0.5 52.2 1 53.85
480 0.1 50.5 0.5 52.8 1 55.1
481 0.1 50.55 0.5 53.5 1 55.8
482 0.1 50.45 0.5 51.2 1 53.4
483 0.1 50 0.5 52.3 1 55.3
484 0.1 50.5 0.5 51.6 1 53.6
485 0.1 50.5 0.5 52.4 1 54.4
486 0.1 50.6 0.5 53.7 1 56
487 0.1 50.9 0.5 52.55 1 55
488 0.1 50.45 0.5 53.15 1 54.2
489 0.1 50.3 0.5 52.25 1 55.05
490 0.1 50.55 0.5 51.8 1 54.95
491 0.1 50.6 0.5 52.7 1 54.7
492 0.1 50.45 0.5 52.5 1 54.9
493 0.1 50.5 0.5 53 1 55.45
494 0.1 50.15 0.5 52.65 1 55.25
495 0.1 51.05 0.5 52.95 1 56.45
496 0.1 50.7 0.5 53.7 1 55.95
497 0.1 50.1 0.5 52.45 1 54.15
498 0.1 50.15 0.5 53.3 1 54.85
499 0.1 50.05 0.5 52.3 1 55.25
500 0.1 50.7 0.5 53.1 1 55.75
501 0.1 50.6 0.5 52.3 1 53.9
502 0.1 50.5 0.5 53.3 1 55.6
503 0.1 50.65 0.5 52.45 1 54.6
504 0.1 50.65 0.5 52.05 1 54.05
505 0.1 50.35 0.5 51.45 1 54.75
506 0.1 50.95 0.5 52.7 1 55.7
507 0.1 50.5 0.5 52.3 1 55
508 0.1 50.5 0.5 53.1 1 55.7
509 0.1 50.5 0.5 53.85 1 55.5
510 0.1 50.4 0.5 52.5 1 56.1
511 0.1 49.85 0.5 52.05 1 54.65
512 0.1 50.55 0.5 52.45 1 54.35
513 0.1 50.75 0.5 53.1 1 55.5
514 0.1 50.8 0.5 51.9 1 54.8
515 0.1 50.65 0.5 52.25 1 53.65
516 0.1 51.4 0.5 52.4 1 54.6
517 0.1 50.45 0.5 52.2 1 55.1
518 0.1 50.3 0.5 51.55 1 53.65
519 0.1 50.05 0.5 51.95 1 52.9
520 0.1 50.45 0.5 53.1 1 55.45
521 0.1 51.65 0.5 52.8 1 54.55
522 0.1 50.25 0.5 53.2 1 55.15
523 0.1 50.4 0.5 51.45 1 54.05
524 0.1 50.55 0.5 53.2 1 56.8
525 0.1 50.6 0.5 53.5 1 56.6
526 0.1 50.4 0.5 52.2 1 54.45
527 0.1 50.55 0.5 53.6 1 55.75
528 0.1 50.9 0.5 51.45 1 55.05
529 0.1 50.15 0.5 51.8 1 55.7
530 0.1 50.75 0.5 52.75 1 55.55
531 0.1 50.75 0.5 52.75 1 54.2
532 0.1 50.6 0.5 50.7 1 52.35
533 0.1 49.9 0.5 52.65 1 55.05
534 0.1 50.4 0.5 52.8 1 54.55
535 0.1 50.6 0.5 51.9 1 53.85
536 0.1 50.3 0.5 53.3 1 57
537 0.1 50.45 0.5 52.1 1 55.9
538 0.1 50.95 0.5 52.7 1 55.7
539 0.1 50.3 0.5 52 1 54.55
540 0.1 50.35 0.5 51.8 1 54.9
541 0.1 50.1 0.5 52.15 1 53.95
